"filename", "language", "TypeScript", "JSON with Comments", "JSON", "YAML", "Prisma", "JavaScript", "SQL", "TypeScript React", "XML", "comment", "blank", "total"
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\server\dist\src\controllers\Chat.controller.js", "JavaScript", 0, 0, 0, 0, 0, 106, 0, 0, 0, 1, 0, 107
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\server\dist\src\controllers\Laundry.controller.js", "JavaScript", 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 0, 26
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\server\dist\src\controllers\Notification.controller.js", "JavaScript", 0, 0, 0, 0, 0, 62, 0, 0, 0, 1, 0, 63
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\server\dist\src\controllers\Reservation.controller.js", "JavaScript", 0, 0, 0, 0, 0, 228, 0, 0, 0, 9, 0, 237
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\server\dist\src\controllers\Reservation.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\server\dist\src\controllers\Student.controller.js", "JavaScript", 0, 0, 0, 0, 0, 51, 0, 0, 0, 1, 0, 52
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\server\dist\src\controllers\WashingMachine.controller.js", "JavaScript", 0, 0, 0, 0, 0, 72, 0, 0, 0, 1, 0, 73
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\server\dist\src\controllers\authController.js", "JavaScript", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 1, 47
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\server\dist\src\controllers\studentController.js", "JavaScript", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 26
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\server\dist\src\controllers\washingMachineController.js", "JavaScript", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 1, 34
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\server\dist\src\interfaces\index.interface.js", "JavaScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 3
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\server\dist\src\middleware\auth.js", "JavaScript", 0, 0, 0, 0, 0, 48, 0, 0, 0, 1, 0, 49
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\server\dist\src\routes\routes.js", "JavaScript", 0, 0, 0, 0, 0, 35, 0, 0, 0, 1, 0, 36
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\server\dist\src\utils\ConvertKeys.js", "JavaScript", 0, 0, 0, 0, 0, 21, 0, 0, 0, 1, 0, 22
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\server\dist\src\utils\ConvertTypes.js", "JavaScript", 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 0, 12
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\server\dist\src\utils\Notifications.js", "JavaScript", 0, 0, 0, 0, 0, 70, 0, 0, 0, 4, 0, 74
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\server\dist\src\utils\Timezone.js", "JavaScript", 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 0, 14
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\server\dist\src\utils\mqttServer.js", "JavaScript", 0, 0, 0, 0, 0, 77, 0, 0, 0, 5, 0, 82
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\server\dist\src\utils\writeFile.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\server\index.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 48
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\server\jobs\backgroundTasks.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 34
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\server\package-lock.json", "JSON", 0, 0, 4887, 0, 0, 0, 0, 0, 0, 0, 1, 4888
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\server\package.json", "JSON", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 1, 45
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\server\prisma\migrations\20230219143736_init\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 2, 8
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\server\prisma\migrations\20230307191321_updated\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 97, 0, 0, 33, 31, 161
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\server\prisma\migrations\20230309214632_added\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 3, 0, 0, 10, 3, 16
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\server\prisma\migrations\20230312183800_updated\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 2, 0, 0, 8, 2, 12
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\server\prisma\migrations\20230317194347_changed\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 7, 0, 0, 7, 1, 15
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\server\prisma\migrations\20230317223931_changed\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 6, 0, 0, 13, 3, 22
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\server\prisma\migrations\20230402181959_added\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 15, 0, 0, 5, 6, 26
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\server\prisma\migrations\20230402191338_added\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\server\prisma\migrations\20230424214525_added\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 6, 0, 0, 14, 5, 25
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\server\prisma\migrations\20230515105547_added\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\server\prisma\migrations\20230515105606_added\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\server\prisma\migrations\20230515163405_added\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 2, 0, 0, 7, 1, 10
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\server\prisma\migrations\20230605084743_added\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 27, 0, 0, 8, 11, 46
