"filename", "language", "TypeScript", "TypeScript React", "XML", "comment", "blank", "total"
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\api\authQR\authQR.const.ts", "TypeScript", 7, 0, 0, 0, 1, 8
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\api\authQR\endpoints.ts", "TypeScript", 26, 0, 0, 0, 3, 29
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\api\authQR\useQR.tsx", "TypeScript React", 0, 17, 0, 0, 2, 19
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\api\chat\conversations\endpoints.ts", "TypeScript", 21, 0, 0, 0, 5, 26
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\api\chat\conversations\useConversations.ts", "TypeScript", 26, 0, 0, 1, 5, 32
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\api\chat\createChat\endpoints.ts", "TypeScript", 26, 0, 0, 0, 3, 29
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\api\chat\createChat\useCreateChat.tsx", "TypeScript React", 0, 23, 0, 0, 4, 27
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\api\chat\messages\Messages.const.ts", "TypeScript", 12, 0, 0, 0, 3, 15
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\api\chat\messages\endpoints.ts", "TypeScript", 25, 0, 0, 0, 2, 27
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\api\chat\messages\useMessages.ts", "TypeScript", 14, 0, 0, 1, 2, 17
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\api\laundry\endpoints.ts", "TypeScript", 16, 0, 0, 0, 4, 20
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\api\laundry\useLaundry.ts", "TypeScript", 26, 0, 0, 0, 5, 31
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\api\login\endpoints.ts", "TypeScript", 18, 0, 0, 0, 5, 23
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\api\login\useLogin.tsx", "TypeScript React", 0, 17, 0, 0, 2, 19
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\api\notifications\delete\endpoints.ts", "TypeScript", 31, 0, 0, 0, 3, 34
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\api\notifications\delete\useDeleteNotification.tsx", "TypeScript React", 0, 19, 0, 0, 2, 21
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\api\notifications\get\endpoints.ts", "TypeScript", 28, 0, 0, 0, 4, 32
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\api\notifications\get\useGetNotifications.tsx", "TypeScript React", 0, 9, 0, 0, 1, 10
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\api\profile\endpoints.ts", "TypeScript", 31, 0, 0, 0, 4, 35
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\api\profile\useGetProfile.tsx", "TypeScript React", 0, 10, 0, 0, 1, 11
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\api\reservation\delete\endpoints.ts", "TypeScript", 32, 0, 0, 0, 2, 34
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\api\reservation\delete\useDeleteReservation.tsx", "TypeScript React", 0, 18, 0, 0, 2, 20
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\api\reservation\endReservation\endpoints.ts", "TypeScript", 29, 0, 0, 0, 4, 33
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\api\reservation\endReservation\useEndReservation.tsx", "TypeScript React", 0, 24, 0, 0, 2, 26
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\api\reservation\getHistory\endpoints.ts", "TypeScript", 16, 0, 0, 0, 4, 20
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\api\reservation\getHistory\useHistory.tsx", "TypeScript React", 0, 20, 0, 0, 3, 23
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\api\reservation\incomingReservation\endpoints.ts", "TypeScript", 21, 0, 0, 1, 3, 25
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\api\reservation\incomingReservation\useIncomingReservation.tsx", "TypeScript React", 0, 13, 0, 0, 1, 14
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\api\reservation\makeReservation\endpoints.ts", "TypeScript", 17, 0, 0, 0, 4, 21
"c:\Emil\Proiecte\JavaScript\ReactNative\smart-washing-machine\client\src\api\reservation\makeReservation\useReservation.tsx", "TypeScript React", 0, 19, 0, 0, 3, 22
